instelling.naam;objectnummer;object_categorie;objectnaam;titel;beschrijving;vervaardiger;vervaardiger.rol;vervaardiging.plaats;vervaardiging.datum.begin.prec;vervaardiging.datum.begin;vervaardiging.datum.eind.prec;vervaardiging.datum.eind;associatie.onderwerp;associatie.persoon;associatie.periode;inhoud.onderwerp;inhoud.persoon.naam
Het Huis van Alijn (Gent);DIA-70-00489;"";digitale afbeelding;Kinderen maken sneeuwpoppen op camping, 1976;"";"";"";"";"";1976;"";"";toerisme$winter$kampeerterrein$vervoer$vakantie;"";jaren 1970;sneeuw$sneeuwpop$caravan$tent;""
Het Huis van Alijn (Gent);2003-001-025;circuskostuums;clownspak;Kostuum van clown Jojo French;Clownspak met wijde pijpen, hoogopgezette schouders en bezet met pailletten.;"";"";"";ca.;1950;"";"";circus$clown;Chabre, Joseph;jaren 1950;"";""
Het Huis van Alijn (Gent);1976-247-035;"";behendigheidsspel;Behendigheidsspel met arabier;"Rond gezelschapspelletje van verchroomd metaal. Bovenaan is glas aangebracht. In de doos ligt een chromolithografie. Deze is voorzien van een afbeelding van arabieren met kamelen aan een waterput in een oase.
Het spel gaat als volgt: een arabier met een waterkruik heeft vier knopen van zijn tuniek verloren. Het is de bedoeling om vier witte kleine bolletjes, die los in het doosje liggen, in de openingen van de tuniek te brengen.";onbekend;"";"";"";"";"";"";speelgoed;"";"";"";""
Het Huis van Alijn (Gent);1976-173-322;"";miniatuur;Geel meubilair voor poppenhuis;Set bestaat uit zetel, kastje en dressoir.;Louis Marx & Co.;fabrikant;Verenigde Staten van Amerika;"";"";"";"";speelgoed;"";"";"";""
Het Huis van Alijn (Gent);1965-089-007;"";stangpop;Afrikaanse koning Boela;Stangpop van de Afrikaanse koning Boela. De pop draagt een zilverkleurige kartonnen kroon met pailletten en oorringen. Lang, roodbruin kleed met gestileerde bloemmotieven. Over de borst en de heupen hangen sierbanden met gestileerde plantmotieven waarin vooral geel voorkomt. Onderaan het kleed zit een band met franjes. De pop draagt zwarte laarzen. Poppenkastpop van het Spelleke van de Muide.;"";"";"";ca.;1922;ca.;1950;poppenspel$Gent;Spelleke van de Muide;jaren 1920$jaren 1930$jaren 1940;koning;""
Het Huis van Alijn (Gent);2007-010-179;"";digitale afbeelding;Mademoiselle Leroy, Circus Demuynck, 1956;"";Plaetsier, Stan;fotograaf;Gent;"";1956;"";"";circus$dresseur;Demuynck (circus);jaren 1950;hogeschoolrijder$paard;De Coninck, Mariette
Het Huis van Alijn (Gent);1998-002-001;"";strijkijzer;Elektrisch strijkijzer;"";onbekend;"";"";ca.;1935;ca.;1955;huishouden$schoonmaak;"";jaren 1930$jaren 1940$jaren 1950;"";""
Het Huis van Alijn (Gent);2007-119-126;schoonmaakgerei;schuurmiddel;Schoonmaakmiddel Vim;"";"";"";"";"";"";"";"";huishouden$schoonmaak;"";jaren 1960;"";""
Het Huis van Alijn (Gent);2007-010-259;"";programma;Programma van Circus Demuynck, 1947;"";"";"";"";"";1947;"";"";circus;Demuynck (circus);jaren 1940;"";Demuynck, Gustaaf
Het Huis van Alijn (Gent);2007-119-115;"";badeend;Badeend;"";"";"";"";"";"";"";"";speelgoed;"";jaren 1960;"";""
Het Huis van Alijn (Gent);1973-276-001;"";kop (figuurvoorstellingen);Reuzenkop Kwinten;Reuzenkop van papier-maché van de dekenij Heuvelpoort (Heuvelstraat). De man draagt een baard met dikke snor en een hoed met rozet. De naam van de reus is ontleend aan de Sint-Kwintensberg, in de buurt van het Sint-Pietersplein en de Heuvelpoort. De reuzen Kwinten en Amanda werden omstreeks 1905 ingehuldigd. Tijdens de Gentse Feesten van 1927 werden ze tentoongesteld in het voormalige Folkloremuseum in de Lange Steenstraat in Gent. In 1947 startte de dekenij Heuvelpoortstraat opnieuw met een reuzenommegang waarbij reus Kwinten aanwezig was. De dekenij hield op met het paraderen met de reuzen in 1958.;"";"";"";"";1905;"";"";optocht$reus$Gent$Sint-Kwintensberg (Gent)$Heuvelpoort (Gent);Dekenij Heuvelpoortstraat;jaren 1900;"";""
Het Huis van Alijn (Gent);1980-048-015;kermisgiften;beeldje;Trois heures du matin;In de tweede helft van de 19de eeuw werden kleine, porseleinen beeldjes gemaakt die verkocht werden op jaarmarkten, kermissen en in winkels. Kenmerkend voor de beeldjes is de humoristische weergave van dagelijkse taferelen. Er werd vooral gelachen met het huwelijk.;"";"";"";"";1860;"";1890;huwelijk$huishouden;"";19de eeuw;"";""
Het Huis van Alijn (Gent);1980-251-004;"";handpop;Winston Churchill;Handpop van Winston Churchill. Houten kop, hij draagt een donker kostuum en een paarse strik. Pop uit het Poppenspel Kindervreugd van de weerstand Gent (oktober 1944 - april 1945).;Van Der Meersch, Gust$Huygheveldt, Gaston;houtsnijder$schilder;Gent$Gent;ca.;1944;"";"";poppenspel$Tweede Wereldoorlog$Gent;Poppenspel weerstand Gent;jaren 1940;"";Churchill, Winston
Het Huis van Alijn (Gent);2003-002-041;circusattributen;bord (vaatwerk);Borden van jongleurs The Marvellous Wortney's;Twaalf witte borden van polyester. De borden werden gebruikt voor jongleeract.;onbekend;"";"";"";"";"";"";circus$jongleur;Demuynck (circus)$Demuynck, Gustaaf$Demuynck, Lievin$Minne, Armand;"";"";""
Het Huis van Alijn (Gent);2009-046-113;schrijfbenodigdheden;etui;Gevulde pennenetui;"";Herlitz;fabrikant;"";"";"";"";"";onderwijs$school;"";jaren 1980;"";""
Het Huis van Alijn (Gent);1976-247-038;"";kaartspel;Kaartspel van klein formaat;Kaartspel van klein formaat met tweeëndertig kaarten. De rug van de kaarten is niet versierd. De koning, dame en knecht dragen een naam.;onbekend;"";"";"";"";"";"";speelgoed;"";"";"";""
Het Huis van Alijn (Gent);2003-104-169;"";postkaart;Bonne année;"";"";"";"";"";1906;"";"";nieuwjaarsdag;"";jaren 1900;schoorsteenveger$varken$klaver vier$ster$maan$hoefijzer$champagnefles;""
Het Huis van Alijn (Gent);2007-167-032;"";postkaart;Joyeux Noël;"";"";"";"";"";1902;"";"";Kerstmis;"";jaren 1900;engel$kerstboom$ster;Jezus
Het Huis van Alijn (Gent);1977-344-086-002;"";porseleinkaart$aankondiging;Aankondiging huwelijk van Sophie De Blauwe met Désiré Maes;"";Hemelsoet, T. en D.;drukker;Gent;"";"";"";"";huwelijk$juwelier;"";19de eeuw;cupido;""
Het Huis van Alijn (Gent);1976-247-006;"";behendigheidsspel;Le saut du boulet;"Spel Le saut de Boulet. De vierkante, kartonnen doos is beplakt met purpergeel papier. Het spel heeft een los deksel met daarboven een chromolithografie met de afbeelding van twee mannen in sportkleding. Zij trachten een bol door een cilinder te krijgen. Opdruk: N.K. 2e 376. Het doosje is bovenaan met glas afgesloten.
In het midden van de bodem staat een houten blokje met uitgehold bovenvlak. De bedoeling van het spel: het losliggende balletje in het blokje schudden.";N.K. Atlas;fabrikant;Parijs;ca.;1904;ca.;1924;speelgoed;"";jaren 1900$jaren 1910$jaren 1920;"";""
Het Huis van Alijn (Gent);FO-80-00172;"";digitale afbeelding;Spelende kindjes op een verjaardagsfeestje, ca. 1983;"";"";"";"";ca.;1983;"";"";verjaardag$feest$speelgoed$huiskamer$interieur;"";jaren 1980;telefoon$blok (speelgoed)$sofa;""
Het Huis van Alijn (Gent);FO-70-00410;"";digitale afbeelding;Klinkende mensen rond feesttafel, kerstmis 1975;"";"";"";"";"";1975-12;"";"";feest$Kerstmis$interieur$huiskamer;"";jaren 1970;televisie$behang;""
Het Huis van Alijn (Gent);2003-002-001;circusattributen;autoped;Autoped voor hondennummer van de Flerony's;Rode autoped voor hondennummer van de artiesten de Flerony's. De autoped heeft een gemonteerd stuur dat enkel naar rechts kan draaien en zo dus de vorm van de piste volgt.;"";"";"";"";"";"";"";circus$dresseur;Flerony's;"";"";""
Het Huis van Alijn (Gent);2004-247-046;"";glasnegatief;Carnavalsvierders op de Kouter in Gent, ca. 1890;Drie verklede en gemaskerde carnavalsvierders op de Kouter in Gent, waarschijnlijk gefotografeerd tijdens de carnavalsdagen in 1890. De twee figuren links dragen harlekijnspakken, de figuur rechts is als zwarte griezelfiguur verkleed. De schaduw links op de grond is waarschijnlijk die van de fotograaf.;Vander Haeghen, Arnold;fotograaf;Gent;ca.;1890;"";"";carnaval$verkleedpartij$feest$Gent;"";jaren 1890$19de eeuw;Arlecchino$verkleedkleding$masker$Kouter (Gent);""
Het Huis van Alijn (Gent);2003-002-111;circusattributen$muziekinstrument;koffer$muziekstandaard;Koffer met onderdelen van Circus Minnaert;Koffer uit karton, hout en metaal met bladmuziekstandaard (partiturenhouder), acht klemmen (waarschijnlijk voor trommel), zes trompetmondstukken van verschillende diameter, een slot zonder sleutel, twee vijzen waarvan een met vliegmoer, een houten (drum?)stok, drie spaanderhouten latjes en twee drumpedalen. Alle attributen zijn afkomstig van circus Minnaert.;onbekend;"";"";"";"";"";"";circus$muziek;Minnaert (circus);"";"";""
Het Huis van Alijn (Gent);1973-119-002;"";speelgoedfiguur;Grijze ezel of paard;Ezel of paard van hout met grijze schildering. De gewrichten van de verschillende lichaamsdelen zijn beweegbaar. Binnen het lichaam zijn zij via elastieken aan elkaar verbonden. De oren zijn uitgevoerd in vilt. De muil is open en de staart bestaat uit een geverfde koord. De ogen bestaan uit twee glazen parels.;onbekend;"";"";"";"";"";"";speelgoed;"";19de eeuw;"";""
Het Huis van Alijn (Gent);AU-0008-0030;"";mondelinge bron;De secretaris zit in 't zwin;In de beginjaren van de fiets was een tweewieler nog een echte bezienswaardigheid. Het was niet eenvoudig om op zo’n groot voorwiel in evenwicht te blijven. Medard (°1881) heeft het niet zelf geprobeerd, maar hij zag anderen wel bezig, zoals secretaris Retsin die nog hard moest oefenen op zijn nieuwe fiets…;"";"";"";"";1969-10-22;"";"";Vlissegem$fiets$vervoer$dialect;"";"";"";""
Het Huis van Alijn (Gent);2013-056-056;"";speelgoedfiguur$pop;Filiberke;"";onbekend;"";"";"";"";"";"";speelgoed$stripverhaal;"";"";"";""
Het Huis van Alijn (Gent);2009-046-064;"";speelgoedfiguur;Stripfiguur Wiske;Stripfiguur Wiske uit het stripverhaal Suske en Wiske, een Vlaamse stripreeks sinds 1945.;Nutricia;fabrikant;China;"";1995;"";"";stripverhaal$speelgoed;"";jaren 1990;"";""
Het Huis van Alijn (Gent);1980-048-036;kermisgiften;beeldje;Fairing met mannetje en vier bunselkindjes;Fairing van gleiswerk die polychroom is beschilderd. De voorstelling bestaat uit een mannetje met vier bunselkindjes in de armen en op de rug. Het figuurtje draagt een blauwe muts met goudverfband en een witte kraag. Het hemd is in het middel ingesnoerd en de broek is versierd met verticale strepen. Het figuurtje rust tegen een boomstam.;"";"";"";"";"";"";"";geboorte$huishouden;"";19de eeuw;"";""
Het Huis van Alijn (Gent);1976-247-019;"";behendigheidsspel;A bon Chat bon Rat;"Vierkante, kartonnen doos, beplakt met rood papier. Op het losse deksel van de doos is een geel-rood etiket geplakt. Opschrift: N.K. 1861 - A bon chat bon rat. De afbeelding bestaat uit een kat die op een bankje zit en in elke hoek een rat. Waarschijnlijk was de doos met glas afgedekt.
In elk van de vier hoeken staat een rat. In de doos ligt een losse bodem. Aan elk van de hoeken is een schuine gang opgetrokken. In het midden staat een spijker. Vier losse, metalen balletjes moeten in de vier gangen worden geschud.";N.K. Atlas;fabrikant;Parijs;ca.;1904;ca.;1924;speelgoed;"";jaren 1900$jaren 1910$jaren 1920;"";""
Het Huis van Alijn (Gent);2014-005-012;"";decorstuk;Speelgoedhuis;"";Fisher-Price;fabrikant;Verenigde Staten van Amerika;"";1974;"";"";speelgoed;"";jaren 1970;"";""
Het Huis van Alijn (Gent);2003-146;"";miniatuur;Speelgoedpiano Baby Grand;Vleugelpiano van hout met drie poten. Het toetsenbord bestaat uit vijftien toetsen met opgeschilderde tussentoontoetsen. Op de vlaggenwimpel staat het merk: Baby Grand - Foreign. Boven dit lint is een wapenschild aangebracht met vier compartimenten. Tekening van een goudkleurige trompet (linksboven), goud-rode strepen (rechtsboven), verticale goud-witte lijnen (linksonder) en twee notenbalken met toonaanduidingen (rechtsonder). Aan de onderzijde van de piano is een etiket aangebracht met de tekst: 14 Keys - The export table piano - Industrial Association.;"";"";"";"";"";"";"";speelgoed$muziek;"";"";"";""
Het Huis van Alijn (Gent);1981-043-002;meetinstrument;weegschaal (meetinstrument);Tweeschalige jukbalans;Samengestelde tweeschalige jukbalans op ijzeren onderstel. De schalen rusten in een kruisvorm met gekrulde toppen. Deze zijn in een rechthoekige kader van ijzer gezet met een lus als ophangboog. De balans is voorzien van een schaal van aluminium en een schaal van koper met opstaande en overkragende rand.;"";"";"";"";"";"";"";handel$kruidenier$voedsel;"";19de eeuw;"";""
Het Huis van Alijn (Gent);2007-150-440;"";nummerplaat;Nummerplaat voor fiets Brabant 1958;"";"";"";"";"";1958;"";"";vervoer;"";jaren 1950;"";""
Het Huis van Alijn (Gent);2007-150-534;"";zakdoek;Zakdoekje voor hemdborstzak;"";"";"";"";"";"";"";"";communie;"";jaren 1960;"";""
Het Huis van Alijn (Gent);2007-010-168;"";digitale afbeelding;Circus Demuynck tijdens overstroming in Eupen, 1952;"";"";"";"";"";1952;"";"";circus$Eupen;Demuynck (circus);jaren 1950;circustent$woonwagen$overstroming;""
Het Huis van Alijn (Gent);FO-50-00588;"";digitale afbeelding;Straatportret van twee rokende mannen;"";"";"";"";"";"";"";"";rookwaren;"";jaren 1950;sigaar$sigaret;""
Het Huis van Alijn (Gent);1978-322-025;"";nieuwjaarskaart;Nieuwjaarskaart Société Royale d’Histoire Naturelle, Gent, 1903;Nieuwjaarskaart voor het jaar 1903, gericht aan de leden van de Koninklijke Maatschappij voor Natuurgeschiedenis te Gent of Gentse Zoo. Drukkleur: rood. Opschrift: Société Royale d’Histoire Naturelle Gand. Jardin Zoologique. 1903. Ch. Canepeel. Illustratie: zicht op de kooi met apen.;Heins, N.;drukker;Gent;"";1903;"";"";nieuwjaarsdag$dierentuin$Gent;Dierentuin (Gent)$Société Royale d'Histoire Naturelle (Gent);jaren 1900;aap$kooi;""
Het Huis van Alijn (Gent);2003-002-056;circusattributen;jongleerring;Jongleerringen van Charlie Wood;"";onbekend;"";"";"";"";"";"";circus$jongleur;Vandenhouten, Charles;"";"";""
Het Huis van Alijn (Gent);2007-150-632;"";spel;Het advertentiespel;"";Jumbo;fabrikant;Nederland;"";"";"";"";speelgoed;"";"";"";""
Het Huis van Alijn (Gent);2004-262-011;uurwerken;wekker;Wekker met witte wijzerplaat en gele fluorescerende cijfers;Wekker van het merk Matin met witte wijzerplaat en gele fluorescerende cijfers. De wijzers hebben een zwarte kleur en zijn eveneens voorzien van een fluorescerende substantie. De metaalkleurige wekker rust op een platform in plaats van poten. Bovenaan is een afdrukknop aangebracht.;Matin;merk;Frankrijk;"";"";"";"";slaapkamer$huishouden;"";"";"";""
Het Huis van Alijn (Gent);1976-247-013;"";gezelschapsspel;Jeu de Vélodrome;"Rechthoekige kartonnen doos beplakt met blauw papier. De doos heeft een los deksel met groen etiket. Daarop staat een afbeelding van fietser. Opschrift: Courses de bicyclettes avec pions et clés - N.K. Atlas- Paris.
Het spel heeft hetzelfde reglement als een ganzenspel, maar wordt gespeeld met fietsers en fietsonderdelen als hindernissen. In de doos liggen zes pionnen: ronde schijfjes karton met groen vilt. In het spel zitten twee houten teerlingen met rode ogen en twee blikken teerlingen met gaten als ogen.";N.K. Atlas;fabrikant;Parijs;ca.;1904;ca.;1924;speelgoed;"";jaren 1900$jaren 1910$jaren 1920;fiets;""
Het Huis van Alijn (Gent);FO-00-00022;"";digitale afbeelding;Vrouwen bij auto, 1906;"";"";"";"";"";1906;"";"";vervoer;"";jaren 1900;auto;""
Het Huis van Alijn (Gent);1972-315-001;"";suikerbonendoos;Doopsuikerdoos;"";"";"";"";"";"";"";"";geboorte$doopsel;"";"";baby$bloem (plant);""
Het Huis van Alijn (Gent);1973-119-222;"";miniatuur;Speelgoedcirkelzaag;"Miniatuurimitatie van een cirkelzaag, bestaande uit een ijzeren gestel met drijfrad en in het midden van het tafelblad een ronde zaag. De zaag is op een houten voetstuk geplaatst. Fabrieksmerk: ""GBN"". De zaag werd met een riem of drijfrad in beweging gebracht door een stoommachine. 
Technisch speelgoed moest jongens voorbereiden om een stiel te leren. Verschillende speelgoedmerken brachten begin 20ste eeuw technische uitvindingen in miniatuur uit zoals deze cirkelzaag. Ook gecompliceerde toestellen zoals een elektriciteitsgenerator verschenen in miniatuur als blikken speelgoed.";Bing (Gebrüder);fabrikant;Duitsland;"";1908;"";1925;speelgoed;"";jaren 1910$jaren 1920;"";""
Het Huis van Alijn (Gent);1981-043-001;gereedschap;suikerbreektang (suikerbrood);Suikerbreker;Suiker werd bij de kruidenier verkocht in kegelvormige blokken. Om de suiker in kleinere stukken te breken, maakte men gebruik van een tang. De tang heeft een licht ingesnoerd handvat waarop een ijzeren, ronde staaf zit. Daarin zit één been van de tang. Het andere been is gebogen en eindigt in een punt. Het been is met een ijzer op een houten plank vastgemaakt. De scharnier is op een staaf in een U-vorm vastgezet. Deze rust op een plank. Met de twee gebogen bekken met platte halfcilindervormige sneden kan de suiker worden gebroken.;"";"";"";"";"";"";"";handel$kruidenier$voedsel;"";19de eeuw;"";""
Het Huis van Alijn (Gent);2009-100-001;"";rammelaar (speelgoed);Blauw-roze rammelaar;"";"";"";"";"";"";"";"";speelgoed$geboorte;"";jaren 1950;"";""
Het Huis van Alijn (Gent);2003-002-114;circusattributen;hindernis;Hindernissen voor circusact met Engelse haantjes;Het attribuut is afkomstig uit circus Simon.;"";"";"";"";"";"";"";circus$dresseur;Simon (circus);"";"";""
Het Huis van Alijn (Gent);2003-002-159;circusattributen;draaimolen;Carrousel voor hondennummer van de Flerony's;De draaimolen heeft een metalen onderstel op vier pootjes met een rond houten platform waarop zich een beweegbare as bevindt. Bovenop deze as is een vierkant platform gemonteerd van waaruit vier metalen armen vertrekken met elk een kleiner, rond platform (hondenzitje) aan het uiteinde. Op elk van deze zitjes werd links een uitgezaagd en beschilderd dierenhoofd geschoven, respectievelijk een gans, een hond, een paard en een koe.;onbekend;"";"";"";1953;"";"";circus$dresseur;Flerony's;jaren 1950;"";""
Het Huis van Alijn (Gent);2004-247-029;"";glasnegatief;Sacramentsprocessie, Gent, ca. 1890-1893;Een acoliet (oudere misdienaar) met een processievaandel stapt vergezeld van jonge koorknapen of misdienaars over de Gentse Kouter tijdens de jaarlijkse Sacramentsprocessie. Links twee ordehandhavers die meelopen in de processie: een soldaat en een politieagent met pinhelm.;Vander Haeghen, Arnold;fotograaf;Gent;ca.;1890;ca.;1893;optocht$processie$Kouter (Gent)$Gent;"";jaren 1890$19de eeuw;vaandel$soldaat$politieagent;""
Het Huis van Alijn (Gent);1994-040;"";zeep;Huishoudzeep met premiebon Sparco;"";"";"";"";"";"";"";"";huishouden$schoonmaak;"";"";"";""
Het Huis van Alijn (Gent);1973-119-025;"";blokken (speelgoed);Acht op elkaar passende speelgoedblokken;Didactisch kleuterspeelgoed. Het triplex is beplakt met papier waarop allerlei taferelen staan uitgebeeld. De blokken zijn gedecoreerd met afbeeldingen van onder andere een duiventil, kabouters, spelende meisjes, een boerenhof met pluimvee, vogels, katten, een boot, een meisje met lampion, een vogel op een tak, letters, roodkapje met de wolf, een ooievaar, een haas, een kind op een schommelpaard, een kind en een pop met een bal, een eend, een wolf in mensengedaante, een vos, een kind met verrekijker, een giraf, vlinders, een meisje met ballon, een woestijn, een sterrenhemel, een tulp, een zonnebloem en een vallende ster.;onbekend;"";Duitsland;"";"";"";"";speelgoed$sprookje;"";"";"";""
Het Huis van Alijn (Gent);2003-002-109;circusattributen;koffer;Koffer van clown Gastonske Minnaert;Koffer met o.a. schoenen, pruik, valse neus, geweren, spiegel, schmink (of grime) van clown Gastonske Minnaert uit circus Minnaert.;"";"";"";"";"";"";"";circus$clown;Minnaert, Gaston$Minnaert (circus);"";"";""
Het Huis van Alijn (Gent);1975-154-011;"";uithangbord;Uithangbord Kwatta;Uithangbord Dégustation du cacao Kwatta met afbeelding van een zeeman aan het roer van een schip.;"";"";"";"";"";"";"";handel$winkel$voedsel;"";"";"";""
Het Huis van Alijn (Gent);2003-001-015;circuskostuums;pak$jas$hemd$broek;Kostuum van jongleursduo Dougall's;Zwarte broek, wit hemd en goudkleurige jas met pailletten van jongleursduo de Dougall's.;"";"";"";"";"";"";"";circus$jongleur;Chabre, Viviane$Dougall's;"";"";""
Het Huis van Alijn (Gent);2007-010-260;"";programma;Programma van Circus Demuynck, 1947-1949;"";"";"";"";"";1947;"";1949;circus$clown$dresseur;Demuynck (circus);jaren 1940;paard$august;""
Het Huis van Alijn (Gent);FO-50-00073;"";digitale afbeelding;Grootouders en kleinkinderen op dijk van Blankenberge, 1953;"";"";"";"";"";1953;"";"";kusttoerisme$toerisme$Blankenberge$vakantie;"";jaren 1950;vlieger$zeedijk;""
Het Huis van Alijn (Gent);1926-470;"";stangpop;Politieman;Stangpop van een politieman met helm. De poppenkastpop heeft een houten hoofd, blauwe ogen, een snor en bruin haar. Het blauwe pak is versierd met een rode lijn aan de onderzijde van de mouwen, de kraag, het sluitstuk en de zijkant van de broek. Vooraan werden vier grote, zilverkleurige knopen aangenaaid. De buik wordt omzoomd met een riem in kunstleer en geschilderde gesp. Poppenkastpop van theater Verbeke.;Verbeke, Leon;houtsnijder;Melle;ca.;1926;"";"";poppenspel$Melle;Spelleke van Verbeke;jaren 1920;politieagent;""
Het Huis van Alijn (Gent);1977-109-110;"";menukaart;Menukaart huwelijksfeest, 1953;Feestmaal ter gelegenheid van het huwelijk van Marguerite Strobbe en Maurice Bruggeman op 2 juni 1953 in Laarne.;Auman;uitgever;Laarne;"";1953-06-02;"";"";huwelijk$banket$Laarne;"";jaren 1950;vogel$roos;""
Het Huis van Alijn (Gent);1978-315-002;"";reclameplaat;Reclameplaat voor Oranje Bitter van Notermans;"";"";"";"";ca.;1900;ca.;1910;reclame$café$drank$Wereldtentoonstelling Parijs 1900$Frankrijk;"";jaren 1900;"";""
Het Huis van Alijn (Gent);2007-150-448;"";nummerplaat;Nummerplaat voor fiets Liège 1950;"";"";"";"";"";1950;"";"";vervoer;"";jaren 1950;"";""
Het Huis van Alijn (Gent);2014-008-007;"";speelgoedfiguur;Ridder in harnas met zwaard en schild;"";Starlux;fabrikant;Frankrijk;"";"";"";"";speelgoed;"";jaren 1960;"";""
Het Huis van Alijn (Gent);2003-002-052;circusattributen;bijl (gereedschap);Bijl voor clownsnummer van Polly Bentos;Houten bijl met twee pinnen voor act van Polly Bentos. De pinnen konden blijven steken op een drager van hout. Zo werd bijvoorbeeld onder de pruik van een clown een stuk hout gemonteerd, het leek dan net alsof de bijl werkelijk in het hoofd van de clown was terechtgekomen.;onbekend;"";"";"";"";"";"";circus$clown;De Baets, Polydoor;"";"";""
Het Huis van Alijn (Gent);2007-165-007;"";postkaart;Bébé à vendre;"";"";"";"";"";1912;"";"";geboorte;"";jaren 1910;baby;""
Het Huis van Alijn (Gent);1981-153;"";pop;Pop met kleedje;In de buik van de pop zit een cilindervormig buisje waarmee de pop geluid maakt bij het wentelen. Dit buisje is gemerkt: Aldo Folli.;onbekend;"";Italië;ca.;1960;"";"";speelgoed;"";jaren 1960;"";""
Het Huis van Alijn (Gent);2004-247-045;"";glasnegatief;Carnavalsvierders op de Kouter in Gent, ca. 1890;Drie verklede en gemaskerde carnavalsvierders op de Kouter in Gent, waarschijnlijk gefotografeerd tijdens de carnavalsdagen in 1890. De mooie kostuums en attributen zoals de hoge hoed verraden de sociale status van de feestvierders. Op de achtergrond wandelen vele niet-verklede burgers op het plein en is ook de hoge tros ballonnen van een ballonventer te zien. De straat links achteraan is de Vogelmarkt.;Vander Haeghen, Arnold;fotograaf;Gent;ca.;1890;"";"";carnaval$verkleedpartij$feest$Gent;"";jaren 1890$19de eeuw;verkleedkleding$masker$Kouter (Gent);""
Het Huis van Alijn (Gent);1992-025-012;"";puzzel;Puzzel van witte eend;"";onbekend;"";"";"";"";"";"";speelgoed;"";"";"";""
Het Huis van Alijn (Gent);2007-150-296;"";kaarsenstandaard;Kaarsenhouder Tomado;"";Tomado;fabrikant;Nederland;"";"";"";"";Kerstmis;"";jaren 1950;kaars;""
Het Huis van Alijn (Gent);FO-50-00237;"";digitale afbeelding;Bruidspaar tijdens openingsdans, jaren 1950;"";"";"";"";"";"";"";"";feest$huwelijk$dans;"";jaren 1950;jukebox$bruidspaar;""
